ed,-110,0.48589578375430936,8,1,3,4,,,
nick,-50,0.8890862764444941,2,0,0,2,,,
jeremy,-175,0.8197266697413529,7,0,1,6,,,
john,375,1.5863697047313274,5,3,1,1,,,
bill,-45,1.108346202373853,6,1,1,4,,,
daniel,185,1.5002044062982822,7,2,2,3,,,
ben,-150,0.8751740890965652,5,0,0,5,,,
wally,-150,0.6634275952383164,3,0,0,3,,,
max,-30,0.9406673831576555,1,0,0,1,,,
garett,180,1.1948738432448873,1,1,0,0,,,
reese,-30,0.9362280459189563,1,0,0,1,,,
